conversation_id,vader_pos,vader_neg,vader_neu,vader_compound,tb_polarity,tb_subjectivity
8611ccf1e5b2d7b5cd745891eda5e269,0.054,0.0,0.946,0.9661,0.021153846153846155,0.4115384615384616
0ff33f4f6cfeb279b1cc40c3d067711b,0.04,0.049,0.911,-0.2382,0.1392857142857143,0.5339285714285714
64382a52f474f6da3b7ff6b23efcf8a6,0.156,0.115,0.729,0.989,0.0805,0.42557142857142866
4e9b862c216d84707f2c8d3ad372395f,0.047,0.006,0.947,0.977,0.004444444444444444,0.4123765432098765
b0f37a2e056adc18e8e9f913ba2faeb2,0.243,0.063,0.694,1.0,0.20441690935327284,0.5707707464252918
d04ef425a2694ee326b522cdfaaa3663,0.18,0.115,0.705,0.973,0.05613636363636361,0.6032323232323231
b5429c08646c04d3708eef97faafc1f5,0.17,0.103,0.727,0.9974,0.25752232142857145,0.495610119047619
7e19896b45e369a3c66f453a4134a2a6,0.13,0.028,0.842,0.9336,0.20694444444444446,0.5708333333333334
bbf5aeb979c41dba933fd50761b71a65,0.17,0.018,0.812,0.998,0.41538682277318656,0.657518365472911
b9551af52a0f065328bfda73a7c59556,0.113,0.036,0.851,0.9032,0.096875,0.5734375
32335d6c3690ab970ab2d991b3af8d45,0.23,0.108,0.662,0.9983,0.06500385208012327,0.6370184899845918
a09908b3906ffd26595c5ec4b023da8b,0.082,0.013,0.905,0.9995,0.07569097569097566,0.32533133533133546
7fb3af8a8aaa18eede1b6a005e3d50b1,0.311,0.042,0.647,0.9997,0.4273033126293995,0.6226449275362321
5ed0c9b9a375f47384fb7123f3a6ba5e,0.073,0.045,0.882,0.4854,0.05384615384615384,0.49615384615384617
d3759f40d34345214682c958c61a537f,0.05,0.012,0.938,0.9957,0.04436497086873026,0.3664168538228692
ade54ef5837a05f24c39c39a91d9b1bf,0.173,0.034,0.793,0.9979,0.21998236331569665,0.5547751322751323
a1982c0cf025d36c72f80df7ceb3d0a9,0.165,0.119,0.717,0.861,0.15738514957264957,0.6518429487179488
e4143a9a093e9d9ee9002b1d6e6dfc8c,0.063,0.0,0.937,0.8689,-0.019642857142857146,0.6648809523809524
8025958d0331e9b9a1236f07e64c2866,0.105,0.14,0.755,-0.992,-0.03018140589569161,0.5227664399092969
81f3bc9c077fd43228e92cbb64b20a25,0.194,0.036,0.771,0.999,0.2685757575757576,0.5712121212121211
20cb320c663e8576e0dbae332dd73454,0.171,0.008,0.821,0.999,0.33433372183372195,0.5569230769230769
d7b994e256fc13cc9e4cfed7a0377beb,0.197,0.042,0.761,0.9571,0.06875,0.35295138888888883
c0f6216ea6537dbf96adb404abd6ca2d,0.097,0.055,0.849,0.9642,0.10454545454545454,0.4396464646464646
c108fb65db0612d40d3d26dbbfbcdda4,0.183,0.0,0.817,0.9957,0.363888888888889,0.43595679012345684
6b67b7ee9ede264df67cfb023cfbb79d,0.186,0.0,0.814,0.9973,0.12787433155080213,0.6150863842040313
5b19fb8b671f0995f395f335ad3953f7,0.208,0.021,0.771,0.9998,0.16794397463002117,0.4773734017920065
dd67a42e97df471f18bc516067034123,0.152,0.134,0.714,0.4787,0.08392857142857141,0.45031328320802
1ffcdfc43b8f44e1fedee8f6076bb977,0.108,0.043,0.849,0.9996,0.07923568187605622,0.34589892430801494
f92059b0c4d078acddd6efcc9a3a261a,0.221,0.011,0.768,0.9996,0.3355882352941177,0.6858543417366947
c58721526a8ff4b83254517fb499513c,0.097,0.007,0.896,0.9995,0.17955198647506343,0.5131028603217955
dd9f311f40079bc827f1a38c0c43f737,0.243,0.015,0.742,0.9993,0.3191331923890064,0.6470460418134836
986285f0ff9d4fc05dc506afe2d9430a,0.0,0.097,0.903,-0.1779,-0.25,0.5625
c08ab53b57adc9a4b5d39e87f5ef81d4,0.125,0.0,0.875,0.5106,0.04545454545454545,0.4292929292929293
dada90933a8e44b5f42ff8d3c998942d,0.128,0.094,0.778,0.9316,0.040791316526610645,0.46866246498599445
d5ac83d93836a222b06a5755c1e1b7be,0.246,0.026,0.728,0.9976,0.2988612836438923,0.6323153899240854
11fbcbc90bfbe75760dc68fea375959e,0.153,0.082,0.765,0.9997,0.05827695724754548,0.4765106679812563
78edefc5c0d0d81a0fa66d6fff105125,0.235,0.062,0.703,0.9994,0.26561038961038963,0.6169870129870131
2a9a0587cc0f192d04a49345a5a9d433,0.071,0.045,0.884,0.4588,-0.36,0.6285714285714286
d2ae90cc07eb7dbcbc9c7230eaf0a7ec,0.135,0.048,0.817,0.9885,0.24113821138211383,0.561260162601626
aba91c98fddefbadd057f5a3c917fc2a,0.232,0.008,0.76,0.9991,0.2584312512883941,0.5917171717171715
8846da3ac3725a2da15aba8da8ed38ef,0.0,0.0,1.0,0.0,0.0,0.0
2636dd6809fed377fcb79450ae5d73cf,0.101,0.025,0.873,0.6468,0.010000000000000004,0.36000000000000004
a728984d84d9cba1187c537e6715bcc0,0.203,0.0,0.797,0.91,0.18,0.3771428571428571
9910515baf6063c6c04a351707c5bde6,0.101,0.01,0.89,0.998,0.11101923954951298,0.4088230519480519
9d807d93d59f83447ebaf801b8c808ff,0.042,0.0,0.958,0.836,0.030303030303030297,0.49389204545454535
78425d3c8461c52fb285af9f5be3c487,0.096,0.039,0.865,0.9973,0.051140323091542594,0.4522379720550453
6d88c47a2025a2e0726406e0135951b3,0.237,0.008,0.755,0.9986,0.27897619047619043,0.4413333333333334
2cd263cc9b4ed54f3632f15f64947772,0.212,0.09,0.698,0.9987,0.129161866359447,0.622551843317972
e5b340f6dc6e1f2c9e340734bdc601cd,0.024,0.024,0.952,0.2411,-0.09074074074074073,0.5350529100529101
e5414e1a97eb87a2aebfe97c03a370f9,0.0,0.073,0.927,-0.7384,-0.203125,0.4555555555555556
