"topic_id","topic_name","count","top_words"
"9","9_6ef78aae437e240a5b5bb1205824992a_6e6ba7eed21e2af0023746f11921302b_6de637cc5885e8a9c6154abf7df5682d_6d876a770685b16eaf4bbf69781bbb0b","13","[""6ef78aae437e240a5b5bb1205824992a"", ""6e6ba7eed21e2af0023746f11921302b"", ""6de637cc5885e8a9c6154abf7df5682d"", ""6d876a770685b16eaf4bbf69781bbb0b"", ""6d1db1b0ca3a58ffa4a45f72961656b2"", ""6ccb7b824dfb48fc49fd32dfecbb4739"", ""6c9d4eb2875d0404f6a9ffdf87bd6f46"", ""6c62f12dd37630bfe62db5c027537552"", ""6bb829facb3a361e23cde8450d369106"", ""6b569b277c85a1a78cd94cd850703bee""]"
"10","10_cbc95e553c985e3fd18daeba76461b46_ade54ef5837a05f24c39c39a91d9b1bf_ad79a71396fe3f55e70a0ba10ba7ade9_ad7498d0da22c380c7cbe81dcb4454b4","12","[""cbc95e553c985e3fd18daeba76461b46"", ""ade54ef5837a05f24c39c39a91d9b1bf"", ""ad79a71396fe3f55e70a0ba10ba7ade9"", ""ad7498d0da22c380c7cbe81dcb4454b4"", ""8cfad3cdbc6af705dedaeac71ce9d221"", ""8a939ed7f3e5de1bdc67c060cb4c0135"", ""7d054928632e27fa839dd1542b34c9ac"", ""7c4d91ea0709f98a20e649eb1acdc77b"", ""75dc5e1c06ea0c639ac4d4fa27ce09d5"", ""6fd0397957cc916d62c3d93101ad8f17""]"
"11","11_66ca7447b189b4aaa9d20e96cf30b773_6623e786cb6b3ce262a261e782a23ecd_63a42abd81754462ef57aa1987c0c387_635600f491cec1cea9da001f172163b9","12","[""66ca7447b189b4aaa9d20e96cf30b773"", ""6623e786cb6b3ce262a261e782a23ecd"", ""63a42abd81754462ef57aa1987c0c387"", ""635600f491cec1cea9da001f172163b9"", ""1d0cab99eeb72a7de699df9317e69f79"", ""0895ad38dc651ccef6263c5dd70688e5"", ""0821bac652e1ce86960ab1340f712416"", ""0624ed5cae14ea1d881bb84e17d8b2ab"", ""0602bf159664ea95b942b04679075bcb"", ""0121ba102eeaa488714d78fa20e5f13b""]"
"12","12_47313243488f4dc822a0ce40cac2c123_43d3a64549ac59f99407b3ceae26bb7c_393cb4b9eb9e4a5ce190b5b2ffe18be3_391286fb902cf3ef3a2b766b295ee531","11","[""47313243488f4dc822a0ce40cac2c123"", ""43d3a64549ac59f99407b3ceae26bb7c"", ""393cb4b9eb9e4a5ce190b5b2ffe18be3"", ""391286fb902cf3ef3a2b766b295ee531"", ""38a49cf37dd3bf32479ec3080704d9c6"", ""3840ae22a285ce849ec20b4977a43dec"", ""36ac5e1b543ba319e318d9475cced2a3"", ""363e38b2e985bf20892a760eb5b75af2"", ""353cf47e447a1060bb20cc852ce409ae"", ""33cf52f630ba16478c2c234fa3d60985""]"
"13","13_319b18854df79022cbb13c8f1ac21f9d_30083cadeb79199ec05827ae217b6577_2684659476ad0ea74b0cca0f479655a7_2636dd6809fed377fcb79450ae5d73cf","11","[""319b18854df79022cbb13c8f1ac21f9d"", ""30083cadeb79199ec05827ae217b6577"", ""2684659476ad0ea74b0cca0f479655a7"", ""2636dd6809fed377fcb79450ae5d73cf"", ""248113c37bc13f8faeb44a47fc024919"", ""245e2ad3057fef654ef6df46596770f1"", ""2424991ea0a805d9ff82eb8886c372ae"", ""23d54df7bf719ff0f689405dff70728e"", ""2251eb3a9ddea5f01e27d756ca657413"", ""1baa3745847ed5282af011f02e09d26e""]"
"14","14_b344967ae9eaee15d1be1228d3e558cb_a3487bf32bf01052cf4eee3d46e0cba0_8be154dcbde9c3fee1ad29b2faba579c_5dd40834b0fd54df83d41063cf3a0bfb","11","[""b344967ae9eaee15d1be1228d3e558cb"", ""a3487bf32bf01052cf4eee3d46e0cba0"", ""8be154dcbde9c3fee1ad29b2faba579c"", ""5dd40834b0fd54df83d41063cf3a0bfb"", ""5d52243e79cf0fee302abd160656f2b4"", ""4b28727e3b204ebecaed3ca9b14ee856"", ""4000079ad3b55cfd4aeb1534b70be859"", ""1cedc561f6fe55228b5fcbe475a9ac42"", ""169051455b0b4d81b27dd3dc04bf706c"", ""11fbcbc90bfbe75760dc68fea375959e""]"
"15","15_bbf5aeb979c41dba933fd50761b71a65_bbb5389b3edfb75982d56ec4fb9f9717_bb9722f85f0864ed78056f48e1fbd013_bb6ef322988ade15d212bbb65131df24","11","[""bbf5aeb979c41dba933fd50761b71a65"", ""bbb5389b3edfb75982d56ec4fb9f9717"", ""bb9722f85f0864ed78056f48e1fbd013"", ""bb6ef322988ade15d212bbb65131df24"", ""bb677fcce0cde6db039200293b728d48"", ""bb64c17e612eca3480ec64b1f531ac89"", ""8b23ddfbc12f582a4c87552a0bba7ae3"", ""7fb3af8a8aaa18eede1b6a005e3d50b1"", ""77362f5a5d74bf0681c4815bb1fb1eff"", ""72f2b575ca5e5a8fb1ae187235e5a8c0""]"
"16","16_9489085bb00d3a0420b44e9ae5d6df3a_895fd97030a6e4232056317cf968ecec_8866fa8f839d60cbde2743a45bbb19b8_8846da3ac3725a2da15aba8da8ed38ef","11","[""9489085bb00d3a0420b44e9ae5d6df3a"", ""895fd97030a6e4232056317cf968ecec"", ""8866fa8f839d60cbde2743a45bbb19b8"", ""8846da3ac3725a2da15aba8da8ed38ef"", ""872219a3b6aa325b44adf116a8aa912c"", ""86b2c17815cd574bbaa4232e252c9ef3"", ""861369ccf632f859b3aee61d0ad7216d"", ""849293a7b93f18fda1ef518951a7dd30"", ""83df9314220ed59a8e4d8d35c1ac8bd2"", ""83529ffadfe2af24993fbcc8f12c4f6c""]"
"17","17_bf32d37439dfa28398b3fd1d9b2aeb2c_bf23db438d39e3087e1dcf439b680c69_bf21a7138ef8028bee411c1f271ef94c_3fd30502039d7f9fbf227824798ba312","11","[""bf32d37439dfa28398b3fd1d9b2aeb2c"", ""bf23db438d39e3087e1dcf439b680c69"", ""bf21a7138ef8028bee411c1f271ef94c"", ""3fd30502039d7f9fbf227824798ba312"", ""3f7f3051e219e3ee99100ece70c74fcb"", ""3f2efd7154fba7e944f5449e5d8b21dd"", ""3efb673fe1e5a3818bdf46c404b13d9d"", ""3e515bd4f2017c2f4e7d56b7db6da929"", ""3c22bf780e17cefe2f603fba20de466f"", ""3bfce9d16988a4e12a9fb9e444ce86f3""]"
"18","18_febb7e7d79ad87c0d01dd5e7e28669a5_7da8728e28acba463154fa56b603b602_7cf875138a0464ec14eb745303b4432c_7c907990b68e8631985cb6d2dd26f3ed","10","[""febb7e7d79ad87c0d01dd5e7e28669a5"", ""7da8728e28acba463154fa56b603b602"", ""7cf875138a0464ec14eb745303b4432c"", ""7c907990b68e8631985cb6d2dd26f3ed"", ""7bd7d0748a70fc5e85bbd737fad62879"", ""7bcc75a1c732d6ce609cbb8951724988"", ""7b97ab1cf7178c1f6de91453eee84d70"", ""7a551db9aa76bab5cc853be03f3347b1"", ""70fa7c37bf1ef283d74aa966382ddd9f"", ""70baf6e021b773b5a7518fac0dd36d79""]"
"19","19_d9b301c24290739bcf7b8cf1959113df_d992e10ba8a968a4a88deefc911ddddb_d934b7f6bbc913dee1870e943f33ed75_d92a84a6fafa33fddcba003cc84e878b","10","[""d9b301c24290739bcf7b8cf1959113df"", ""d992e10ba8a968a4a88deefc911ddddb"", ""d934b7f6bbc913dee1870e943f33ed75"", ""d92a84a6fafa33fddcba003cc84e878b"", ""d9170c612016eb0dd6cef9b4edede889"", ""d7b994e256fc13cc9e4cfed7a0377beb"", ""d7a192b9bdbde327fbf87b7e995ede05"", ""d6a1790cca04c7cc52bc2c2fa9c04ef1"", ""d2b9df9784975db85f8fa30106536f4c"", ""d2ae90cc07eb7dbcbc9c7230eaf0a7ec""]"
"20","20_7e2036cbdf48557371acae5f7cafcf8d_67cfc9a36527bd8bf98334e89a25e164_55ec2cafc25947d7bba8c8367fabf9d0_522fcc588d3f940e79657ff68fc47dea","10","[""7e2036cbdf48557371acae5f7cafcf8d"", ""67cfc9a36527bd8bf98334e89a25e164"", ""55ec2cafc25947d7bba8c8367fabf9d0"", ""522fcc588d3f940e79657ff68fc47dea"", ""41d32fa527ae6a26ee36cfce480a95f0"", ""3583fcbcc49590438bae8ca4ff9ee94a"", ""295c41a2ab31fc2c5619d577423bff52"", ""2359412fcb65cf6720dda885de901d93"", ""21c5da36ffba12461a8cfcafe41830fd"", ""0fcdee5403fbc2ec46e98805046c36c2""]"
"21","21_faf2bd3954d2e2453a34efc79e6491e9_fa4d8358b4ac8f7da842afe61dcf198b_4fb6ff88a7953e07f85093a87daff638_4f885a8d023334ca9c3980bee34ee655","10","[""faf2bd3954d2e2453a34efc79e6491e9"", ""fa4d8358b4ac8f7da842afe61dcf198b"", ""4fb6ff88a7953e07f85093a87daff638"", ""4f885a8d023334ca9c3980bee34ee655"", ""4e7f4fa9e0f315672ef72babc81ae6e5"", ""2f8aafb47883f69ad2358b505b1e4ec0"", ""2f726b9a6e7e6b8fa543cc22dcebf43e"", ""24e9ed202a068f6cfde049fc9424868f"", ""213b66f7e4aef31ff62ef2f048cfa801"", ""0fa890ff0adb872d0a6aff9e5cddebeb""]"
"22","22_eefe96cb176fcc3fce4233b9a8018eb9_ee65bb4d1c5c81c9ad86963976234570_ee637dbc0358247d32f25b250fa4133c_ee33a82d86ca041ed146e2ff1d50d702","10","[""eefe96cb176fcc3fce4233b9a8018eb9"", ""ee65bb4d1c5c81c9ad86963976234570"", ""ee637dbc0358247d32f25b250fa4133c"", ""ee33a82d86ca041ed146e2ff1d50d702"", ""ee1ffd78ab443d9866dc5adb25f49231"", ""ecc590df57d03efd1a9ecf336982ce8b"", ""eca1efbdb4700c7a6e01103087add15d"", ""ec96adb766f4c56b78dad5c38dc1001a"", ""ec6578cd9d69130a769ea307b6e7a874"", ""ec2497d38262b2174196ce6f525ea6a9""]"
"23","23_4ac09aa7c40f998ff15d88f90f9daa6a_2ee2a77fa14eaa1def7323b70867e5d3_2c2064ec094d57a664a76da3cef17f7a_2322980892ce2cfde8ed647f0272301b","9","[""4ac09aa7c40f998ff15d88f90f9daa6a"", ""2ee2a77fa14eaa1def7323b70867e5d3"", ""2c2064ec094d57a664a76da3cef17f7a"", ""2322980892ce2cfde8ed647f0272301b"", ""0e214eff2ec3d9731689667ee61a22e7"", ""0d772efdf3cd3364c43472f76e238ab0"", ""0cf22ed4f4c4b4d026f7e91a72c19ab5"", ""0a3764e9f036c05aced6ce4add89e0a4"", ""01e1f36d3f0cf0c4acb8e15bc7f4ed10"", """"]"
"24","24_afe6636a261ed7aebf3cf120c4d44066_afd33e3daaed7ebd932adbebff48b500_af5a9624c6a83ad5fcb203df77767389_aaf13106c361881b37febff44450dbc8","7","[""afe6636a261ed7aebf3cf120c4d44066"", ""afd33e3daaed7ebd932adbebff48b500"", ""af5a9624c6a83ad5fcb203df77767389"", ""aaf13106c361881b37febff44450dbc8"", ""aa35a99b87380c3e56edd5440e0709fd"", ""aa1920be31ff8ab6bcb8b873e6b272f1"", ""a2f86feee89e13eb5d1257fa09676e08"", """", """", """"]"
