conversation_id,vader_pos,vader_neg,vader_neu,vader_compound,tb_polarity,tb_subjectivity
533a8ada208be14fa9389fa6991665b9,0.091,0.081,0.828,0.5407,0.11813725490196075,0.6318627450980392
d20bf153ff585911bc82bb4e46530b3e,0.197,0.018,0.786,0.991,0.23333333333333334,0.5833333333333334
cc9ad472c9844e96291a7dbafb3a3edf,0.045,0.125,0.83,-0.9899,-0.02723997493734336,0.6772556390977443
cb73d6848425c5898187bcc03bf5488d,0.159,0.184,0.656,-0.8853,0.05,0.5515873015873016
825b001fa8f407261877527a982f3f34,0.138,0.076,0.786,0.9983,0.15719003219003216,0.5514881414881415
d0986dae8071c84621d383de2a0e2ce9,0.164,0.189,0.647,-0.4939,0.08697916666666665,0.5489583333333333
68b28efca12611e02e488943c6e69c24,0.126,0.097,0.777,0.6038,0.1284798534798535,0.6217948717948718
eaae27bdd1994f0726bd089ed07c7b92,0.053,0.041,0.906,0.2374,0.02225829725829725,0.5653318903318904
0f3a84fb4cd8c2a0e3fee33294c956e0,0.189,0.024,0.787,0.993,0.16688034188034187,0.5676638176638176
e7dbed32367887d6e7ae36054120c085,0.094,0.171,0.735,-0.9557,-0.007500000000000007,0.5332628205128205
1d1aab0a1115db600b76096929262a46,0.158,0.099,0.742,0.9387,-0.07413419913419914,0.5387391774891775
6635fd740ea7f815f3d6dae7828b65d1,0.159,0.111,0.729,0.9447,-0.11218869731800762,0.5741447728516695
7410041b10104298ab5c4f1eff06a5d1,0.163,0.18,0.657,-0.3703,0.0400974025974026,0.6056818181818182
5c37796c4102cac817f49f983dfc6cd0,0.092,0.097,0.811,-0.3839,0.11770833333333335,0.6635416666666666
2673dd92f94996ef79ececb17d064f32,0.118,0.077,0.805,0.8779,0.027777777777777783,0.49027777777777776
7ad7f61ca159c615d7d66bdbe4f3ecc5,0.049,0.174,0.777,-0.9423,-0.018939393939393943,0.615909090909091
c946fa12f6a3f44d90e9c36dff797720,0.16,0.118,0.722,0.8221,0.08280701754385966,0.6473684210526315
25c59b5d5838a8f884a9f4d80fd6e915,0.124,0.155,0.722,-0.5719,-0.03148148148148148,0.8648148148148147
d13dddca1f8e62c0931b69eae4f41d29,0.144,0.153,0.702,-0.7082,-0.045098039215686274,0.5892156862745098
1aea602882e89d9b62548a8dcc436e35,0.088,0.079,0.833,0.593,0.04322916666666666,0.5298280423280425
de479d5aa3b89ca792f239b390bc2103,0.225,0.09,0.685,0.9982,0.2860044642857143,0.5257440476190476
d48fc7a947f54e468718b82f3b9f35a0,0.189,0.057,0.755,0.9912,0.11032051282051283,0.6583150183150183
f58ad73a609b0203e4566fb4a95c6859,0.109,0.122,0.769,-0.795,-0.01333333333333333,0.5269047619047618
d14e203cc7917845bfaca2361d9b7113,0.144,0.183,0.673,-0.9884,0.09636844636844634,0.5412127224627227
fef97c1d9ca1598259db022adb55fe72,0.038,0.035,0.926,0.046,0.0631227954144621,0.5404949294532626
9db2079700656fd180192db2bafa0b3a,0.211,0.06,0.729,0.9455,-0.03571428571428571,0.43571428571428567
